122.0.26.154 - - [27/Jan/2024:19:33:39 +0000] "GET /pma/scripts/setup.php HTTP/1.0" 404 780
122.0.26.154 - - [27/Jan/2024:19:33:40 +0000] "GET /phpMyAdmin3/scripts/setup.php HTTP/1.0" 404 788
115.135.194.113 - - [27/Jan/2024:19:33:40 +0000] "GET /myadmin/scripts/setup.php HTTP/1.0" 404 784
122.0.26.154 - - [27/Jan/2024:19:33:50 +0000] "GET /mysqladmin/scripts/setup.php HTTP/1.0" 404 787
115.135.194.113 - - [27/Jan/2024:19:33:51 +0000] "GET /SQL/scripts/setup.php HTTP/1.0" 404 780
115.135.194.113 - - [27/Jan/2024:19:33:51 +0000] "GET /phpMyAdmin-2.5.5-pl1/scripts/setup.php HTTP/1.0" 404 797
115.135.194.113 - - [27/Jan/2024:19:33:51 +0000] "GET /phpMyAdmin-2.5.5/scripts/setup.php HTTP/1.0" 404 793
115.135.194.113 - - [27/Jan/2024:19:33:56 +0000] "GET /phpMyAdmin-2.5.7-pl1/scripts/setup.php HTTP/1.0" 404 797
115.135.194.113 - - [27/Jan/2024:19:33:56 +0000] "GET /admin/pma/scripts/setup.php HTTP/1.0" 404 790
122.0.26.154 - - [27/Jan/2024:19:34:02 +0000] "GET /web/phpMyAdmin/scripts/setup.php HTTP/1.0" 404 795
122.0.26.154 - - [27/Jan/2024:19:34:02 +0000] "GET /webadmin/scripts/setup.php HTTP/1.0" 404 785
122.0.26.154 - - [27/Jan/2024:19:34:08 +0000] "GET /dbadmin/scripts/setup.php HTTP/1.0" 404 784
122.0.26.154 - - [27/Jan/2024:19:34:14 +0000] "GET /phpMyAdmin2/scripts/setup.php HTTP/1.0" 404 788
115.135.194.113 - - [27/Jan/2024:19:34:15 +0000] "GET /phpma/scripts/setup.php HTTP/1.0" 404 782
115.135.194.113 - - [27/Jan/2024:19:34:20 +0000] "GET /webdb/scripts/setup.php HTTP/1.0" 404 782
115.135.194.113 - - [27/Jan/2024:19:34:20 +0000] "GET /websql/scripts/setup.php HTTP/1.0" 404 783
115.135.194.113 - - [27/Jan/2024:19:34:21 +0000] "GET /_phpMyAdmin/scripts/setup.php HTTP/1.0" 404 788
115.135.194.113 - - [27/Jan/2024:19:34:21 +0000] "GET /php/scripts/setup.php HTTP/1.0" 404 780
115.135.194.113 - - [27/Jan/2024:19:34:21 +0000] "GET /admin/phpmyadmin/scripts/setup.txt HTTP/1.0" 404 797
115.135.194.113 - - [27/Jan/2024:19:34:21 +0000] "GET /db/scripts/setup.php HTTP/1.0" 404 779
115.135.194.113 - - [27/Jan/2024:19:34:21 +0000] "GET /sqlmanager/scripts/setup.php HTTP/1.0" 404 787
115.135.194.113 - - [27/Jan/2024:19:34:22 +0000] "GET /mysqlmanager/scripts/setup.php HTTP/1.0" 404 789
115.135.194.113 - - [27/Jan/2024:19:34:22 +0000] "GET /phpmanager/scripts/setup.php HTTP/1.0" 404 787
115.135.194.113 - - [27/Jan/2024:19:34:22 +0000] "GET /php-myadmin/scripts/setup.php HTTP/1.0" 404 788
115.135.194.113 - - [27/Jan/2024:19:34:22 +0000] "GET /phpmy-admin/scripts/setup.php HTTP/1.0" 404 788
115.135.194.113 - - [27/Jan/2024:19:34:23 +0000] "GET /mysql-admin/scripts/setup.php HTTP/1.0" 404 788
164.52.0.94 - - [27/Jan/2024:19:41:29 +0000] "-" 400 2199
164.52.0.94 - - [27/Jan/2024:19:42:01 +0000] "GET / HTTP/1.1" 200 3979
164.52.0.94 - - [27/Jan/2024:19:42:04 +0000] "GET / HTTP/1.1" 200 3979
164.52.0.94 - - [27/Jan/2024:19:42:07 +0000] "-" 400 2205
164.52.0.94 - - [27/Jan/2024:19:42:42 +0000] "GET /favicon.ico HTTP/1.1" 404 727
164.52.0.94 - - [27/Jan/2024:19:42:45 +0000] "GET /favicon.ico HTTP/1.1" 404 727
91.223.3.149 - - [27/Jan/2024:19:45:44 +0000] "GET /.env HTTP/1.1" 404 755
91.223.3.149 - - [27/Jan/2024:19:45:45 +0000] "GET /conf/.env HTTP/1.1" 404 764
91.223.3.149 - - [27/Jan/2024:19:45:45 +0000] "GET /wp-content/.env HTTP/1.1" 404 770
91.223.3.149 - - [27/Jan/2024:19:45:46 +0000] "GET /wp-admin/.env HTTP/1.1" 404 768
91.223.3.149 - - [27/Jan/2024:19:45:47 +0000] "GET /library/.env HTTP/1.1" 404 767
91.223.3.149 - - [27/Jan/2024:19:45:47 +0000] "GET /new/.env HTTP/1.1" 404 763
91.223.3.149 - - [27/Jan/2024:19:45:48 +0000] "GET /vendor/.env HTTP/1.1" 404 766
91.223.3.149 - - [27/Jan/2024:19:45:48 +0000] "GET /old/.env HTTP/1.1" 404 763
91.223.3.149 - - [27/Jan/2024:19:45:49 +0000] "GET /local/.env HTTP/1.1" 404 765
91.223.3.149 - - [27/Jan/2024:19:45:50 +0000] "GET /api/.env HTTP/1.1" 404 763
91.223.3.149 - - [27/Jan/2024:19:45:50 +0000] "GET /blog/.env HTTP/1.1" 404 764
91.223.3.149 - - [27/Jan/2024:19:45:51 +0000] "GET /crm/.env HTTP/1.1" 404 763
91.223.3.149 - - [27/Jan/2024:19:45:51 +0000] "GET /admin/.env HTTP/1.1" 404 765
91.223.3.149 - - [27/Jan/2024:19:45:52 +0000] "GET /laravel/.env HTTP/1.1" 404 767
91.223.3.149 - - [27/Jan/2024:19:45:53 +0000] "GET /app/.env HTTP/1.1" 404 763
