34.219.21.236 - - [06/Nov/2023:21:37:19 +0000] "GET /core/.env HTTP/1.1" 404 764
34.219.21.236 - - [06/Nov/2023:21:37:19 +0000] "POST /core/.env HTTP/1.1" 404 764
34.219.21.236 - - [06/Nov/2023:21:37:19 +0000] "GET /sources/.env HTTP/1.1" 404 767
34.219.21.236 - - [06/Nov/2023:21:37:20 +0000] "POST /sources/.env HTTP/1.1" 404 767
34.219.21.236 - - [06/Nov/2023:21:37:20 +0000] "GET /.env.dist HTTP/1.1" 404 760
34.219.21.236 - - [06/Nov/2023:21:37:20 +0000] "POST /.env.dist HTTP/1.1" 404 760
34.219.21.236 - - [06/Nov/2023:21:37:21 +0000] "GET /shared/.env HTTP/1.1" 404 766
34.219.21.236 - - [06/Nov/2023:21:37:21 +0000] "POST /shared/.env HTTP/1.1" 404 766
34.219.21.236 - - [06/Nov/2023:21:37:21 +0000] "GET /cms/.env HTTP/1.1" 404 763
34.219.21.236 - - [06/Nov/2023:21:37:22 +0000] "POST /cms/.env HTTP/1.1" 404 763
34.219.21.236 - - [06/Nov/2023:21:37:22 +0000] "GET /.env HTTP/1.1" 404 755
34.219.21.236 - - [06/Nov/2023:21:37:22 +0000] "POST /.env HTTP/1.1" 404 755
34.219.21.236 - - [06/Nov/2023:21:37:23 +0000] "GET /live_env HTTP/1.1" 404 759
34.219.21.236 - - [06/Nov/2023:21:37:23 +0000] "POST /live_env HTTP/1.1" 404 759
34.219.21.236 - - [06/Nov/2023:21:37:23 +0000] "GET /api/.env HTTP/1.1" 404 763
34.219.21.236 - - [06/Nov/2023:21:37:23 +0000] "POST /api/.env HTTP/1.1" 404 763
34.219.21.236 - - [06/Nov/2023:21:37:24 +0000] "GET /application/.env HTTP/1.1" 404 771
34.219.21.236 - - [06/Nov/2023:21:37:24 +0000] "POST /application/.env HTTP/1.1" 404 771
34.219.21.236 - - [06/Nov/2023:21:37:24 +0000] "GET /development/.env HTTP/1.1" 404 771
34.219.21.236 - - [06/Nov/2023:21:37:25 +0000] "POST /development/.env HTTP/1.1" 404 771
34.219.21.236 - - [06/Nov/2023:21:37:25 +0000] "GET /enviroments/.env HTTP/1.1" 404 771
34.219.21.236 - - [06/Nov/2023:21:37:25 +0000] "POST /enviroments/.env HTTP/1.1" 404 771
34.219.21.236 - - [06/Nov/2023:21:37:25 +0000] "GET /.env.production HTTP/1.1" 404 766
34.219.21.236 - - [06/Nov/2023:21:37:26 +0000] "POST /.env.production HTTP/1.1" 404 766
34.219.21.236 - - [06/Nov/2023:21:37:26 +0000] "GET /.aws/credentials HTTP/1.1" 404 771
34.219.21.236 - - [06/Nov/2023:21:37:26 +0000] "POST /.aws/credentials HTTP/1.1" 404 771
34.219.21.236 - - [06/Nov/2023:21:37:27 +0000] "GET /app/.env HTTP/1.1" 404 763
34.219.21.236 - - [06/Nov/2023:21:37:27 +0000] "POST /app/.env HTTP/1.1" 404 763
34.219.21.236 - - [06/Nov/2023:21:37:27 +0000] "GET /.env.save HTTP/1.1" 404 760
34.219.21.236 - - [06/Nov/2023:21:37:27 +0000] "POST /.env.save HTTP/1.1" 404 760
34.219.21.236 - - [06/Nov/2023:21:37:28 +0000] "GET /script/.env HTTP/1.1" 404 766
